Incident ID,Offence Code,CR Number,Victims,Crime Name1,Crime Name2,Crime Name3,Police District Name,Block Address,City,State,Zip Code,Place,Address Number,Street Prefix,Street Name,Street Suffix,Street Type,Start_Date_Time,End_Date_Time,Police District Number
201118903,2303,17005577,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876,Retail - Department/Discount Store,20900,,FREDERICK,,RD,2/1/2017 10:24,,5D
201118904,9106,17005576,1,Other,All Other Offenses,MENTAL ILLNESS,SILVER SPRING,600 BLK  DALE DR,SILVER SPRING,MD,20910,Residence - Single Family,600,,DALE,,DR,2/1/2017 10:38,,3D
201118905,2399,17005584,1,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),MONTGOMERY VILLAGE,300 BLK  WHITE ASH PL,GAITHERSBURG,MD,20878,Residence - Single Family,300,,WHITE ASH,,PL,2/1/2017 11:48,,6D
201118906,2305,17005586,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,MONTGOMERY VILLAGE,19000 BLK  CAPEHART DR,MONTGOMERY VILLAGE,MD,20886,Parking Lot - Residential,19000,,CAPEHART,,DR,12/31/2016 11:30,2/1/2017 11:00,6D
201118907,2499,17005567,1,Crime Against Property,Motor Vehicle Theft,STOLEN VEHICLE (DESCRIBE OFFENSE),MONTGOMERY VILLAGE,19300 BLK  SANDY LAKE DR,GAITHERSBURG,MD,20886,Parking Lot - Residential,19300,,SANDY LAKE,,DR,1/31/2017 15:00,1/31/2017 23:00,6D
201118908,2204,17005583,1,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - NO FORCED ENTRY-RESIDENTIAL,GERMANTOWN,19500 BLK  WATERS RD,GERMANTOWN,MD,20874,Residence - Apartment/Condo,19500,,WATERS,,RD,2/1/2017 5:30,2/1/2017 11:00,5D
201118909,2902,17004522,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,SILVER SPRING,1500 BLK  STATESIDE DR,SILVER SPRING,MD,20904,Residence - Driveway,1500,,STATESIDE,,DR,1/25/2017 5:00,1/26/2017 10:37,3D
201118910,2305,17005590,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,SILVER SPRING,10100 BLK  DALLAS AVE,SILVER SPRING,MD,20901,Street - Residential,10100,,DALLAS,,AVE,1/30/2017 17:30,1/31/2017 9:30,3D
201118911,3562,17005556,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,ROCKVILLE,14500 BLK  AVERY RD,ROCKVILLE,MD,20853,School/College - DO NOT USE,14500,,AVERY,,RD,2/1/2017 8:37,,1D
201118912,2902,17005219,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,MONTGOMERY VILLAGE,18500 BLK  CHERRY LAUREL LA,GAITHERSBURG,MD,,Parking Lot - Residential,18500,,CHERRY LAUREL,,LA,1/30/2017 1:00,1/30/2017 8:00,6D
201118913,5707,17005581,1,Crime Against Society,Trespass of Real Property,TRESPASSING,GERMANTOWN,19000 BLK  MARKSBURG CT,BOYDS,MD,20874,Residence -Townhouse/Duplex,19000,,MARKSBURG,,CT,1/30/2017 0:01,2/1/2017 10:30,5D
201118914,5309,17005568,1,Crime Against Society,All Other Offenses,PUBLIC PEACE - HARASSING COMMUNICATION,WHEATON,14500 BLK  HOMECREST RD,SILVER SPRING,MD,20906,Residence - Single Family,14500,,HOMECREST,,RD,2/1/2017 9:38,2/1/2017 10:00,4D
201118915,2605,17005596,1,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,FRAUD - ILLEGAL USE CREDIT CARDS,MONTGOMERY VILLAGE,200 BLK N FREDERICK AVE,GAITHERSBURG,MD,20877,Other/Unknown,200,N,FREDERICK,,AVE,12/14/2016 12:00,1/30/2017 17:30,6D
201118916,2305,17004951,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,MONTGOMERY VILLAGE,1  BLK  BATTERY BEND CT,MONTGOMERY VILLAGE,MD,20886,Parking Lot - Residential,1,,BATTERY BEND,,CT,1/27/2017 22:00,1/28/2017 9:00,6D
201118917,2609,17005595,1,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD AND ABUSE - COMPUTER,GERMANTOWN,13700 BLK  PALMETTO CIR,GERMANTOWN,MD,20874,Other/Unknown,13700,,PALMETTO,,CIR,2/1/2017 9:00,2/1/2017 11:00,5D
201118918,9199,17005598,1,Other,All Other Offenses,POLICE INFORMATION,ROCKVILLE,100 BLK  EDISON PARK DR,GAITHERSBURG,MD,20878,Government Building,100,,EDISON PARK,,DR,1/25/2017 0:00,,1D
201118919,3562,17005425,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,BETHESDA,7900 BLK  MAC ARTHUR BLV,CABIN JOHN,MD,20854,Residence - Single Family,7900,,MAC ARTHUR,,BLV,1/31/2017 14:31,,2D
201118921,2404,17005580,1,Crime Against Property,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,BETHESDA,11800 BLK  OLD GEORGETOWN RD,ROCKVILLE,MD,20850,Residence - Apartment/Condo,11800,,OLD GEORGETOWN,,RD,1/31/2017 12:00,1/31/2017 8:30,2D
201118922,9003,17004080,1,Crime Against Person,Sexual Assault With An Object,SEX ASSAULT - WITH AN OBJECT,WHEATON,2600 BLK  CORY TER,SILVER SPRING,MD,20902,Residence - Single Family,2600,,CORY,,TER,1/24/2017 7:42,1/24/2017 0:00,4D
201118922,1103,17004080,1,Crime Against Person,Forcible Rape,RAPE - STRONG-ARM,WHEATON,2600 BLK  CORY TER,SILVER SPRING,MD,20902,Residence - Single Family,2600,,CORY,,TER,1/24/2017 7:42,1/24/2017 0:00,4D
201118923,5404,16043582,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,MONTGOMERY VILLAGE,1  BLK  S270-370 RMP,GAITHERSBURG,MD,,Street - In vehicle,1,,S270-370,,RMP,8/27/2016 1:42,,6D
201118924,2305,17005565,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,SILVER SPRING,11200 BLK  OAK LEAF DR,SILVER SPRING,MD,20904,Street - In vehicle,11200,,OAK LEAF,,DR,2/1/2017 8:50,2/1/2017 9:08,3D
201118925,3550,17005601,1,Crime Against Society,Drug Equipment Violations,DRUGS - NARCOTIC EQUIP - POSSESS,CITY OF TAKOMA PARK,7700 BLK  MAPLE AVE,TAKOMA PARK,MD,20912,Residence - Apartment/Condo,7700,,MAPLE,,AVE,2/1/2017 11:45,,8D
201118925,3560,17005601,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - SELL,CITY OF TAKOMA PARK,7700 BLK  MAPLE AVE,TAKOMA PARK,MD,20912,Residence - Apartment/Condo,7700,,MAPLE,,AVE,2/1/2017 11:45,,8D
201118925,3562,17005601,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,CITY OF TAKOMA PARK,7700 BLK  MAPLE AVE,TAKOMA PARK,MD,20912,Residence - Apartment/Condo,7700,,MAPLE,,AVE,2/1/2017 11:45,,8D
201118925,3530,17005601,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - COCAINE - SELL,CITY OF TAKOMA PARK,7700 BLK  MAPLE AVE,TAKOMA PARK,MD,20912,Residence - Apartment/Condo,7700,,MAPLE,,AVE,2/1/2017 11:45,,8D
201118925,5503,17005601,1,Crime Against Society,All Other Offenses,HEALTH - DRUGS - HEALTH OR SAFETY,CITY OF TAKOMA PARK,7700 BLK  MAPLE AVE,TAKOMA PARK,MD,20912,Residence - Apartment/Condo,7700,,MAPLE,,AVE,2/1/2017 11:45,,8D
201118925,3532,17005601,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - COCAINE - POSSESS,CITY OF TAKOMA PARK,7700 BLK  MAPLE AVE,TAKOMA PARK,MD,20912,Residence - Apartment/Condo,7700,,MAPLE,,AVE,2/1/2017 11:45,,8D
201118926,2902,17005159,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,MONTGOMERY VILLAGE,1  BLK  HUTTON ST,GAITHERSBURG,MD,20877,Residence - Driveway,1,,HUTTON,,ST,1/29/2017 20:00,1/30/2017 6:30,6D
201118926,2305,17005159,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,MONTGOMERY VILLAGE,1  BLK  HUTTON ST,GAITHERSBURG,MD,20877,Residence - Single Family,1,,HUTTON,,ST,1/29/2017 20:00,1/30/2017 6:30,6D
201118927,2604,17005606,1,Crime Against Property,Impersonation,FRAUD - IMPERSONATION,BETHESDA,5800 BLK  HILLBURNE WAY,CHEVY CHASE,MD,20815,Other/Unknown,5800,,HILLBURNE,,WAY,1/29/2017 0:00,1/31/2017 23:59,2D
201118928,2604,17005607,1,Crime Against Property,Impersonation,FRAUD - IMPERSONATION,MONTGOMERY VILLAGE,300 BLK  RIDGE RD,GAITHERSBURG,MD,20880,Other/Unknown,300,,RIDGE,,RD,1/30/2017 16:00,,6D
201118929,2305,17005605,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,BETHESDA,7100 BLK  DEMOCRACY BLV,BETHESDA,MD,20817,Parking Garage - Commercial,7100,,DEMOCRACY,,BLV,2/1/2017 10:45,2/1/2017 12:00,2D
201118930,2308,17005587,1,Crime Against Property,Theft from Building,LARCENY - FROM BLDG,WHEATON,14300 BLK  GEORGIA AVE,SILVER SPRING,MD,20906,Residence - Single Family,14300,,GEORGIA,,AVE,2/1/2017 10:46,,4D
201118931,2303,17005611,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,WHEATON,3900 BLK  ASPEN HILL RD,SILVER SPRING,MD,20906,Retail - Department/Discount Store,3900,,ASPEN HILL,,RD,1/10/2017 13:45,1/10/2017 14:27,4D
201118932,2305,17005613,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,BETHESDA,4500 BLK  ROSEDALE AVE,BETHESDA,MD,20814,Residence - Driveway,4500,,ROSEDALE,,AVE,1/30/2017 17:00,1/31/2017 7:00,2D
201118933,9199,17005570,1,Other,All Other Offenses,POLICE INFORMATION,SILVER SPRING,8000 BLK  EASTERN AVE,,MD,20910,Residence - Apartment/Condo,8000,,EASTERN,,AVE,2/1/2017 9:30,2/1/2017 9:40,3D
